Nom,Niveau,Chemin,X_cm,Y_cm,Z_cm,LenX_cm,LenY_cm,LenZ_cm,Matiere
"Tasseau longueur haut gauche ",2,"🛌 Bloc lit peigne / Tasseaux / Tasseau longueur haut gauche ",4.59,164.3,37.04,187.0,1.5,1.5,""
"Tasseau largeur milieu haut",2,"🛌 Bloc lit peigne / Tasseaux / Tasseau largeur milieu haut",144.09,92.8,37.04,1.5,73.0,1.5,""
"Tasseau largeur bas droite",2,"🛌 Bloc lit peigne / Tasseaux / Tasseau largeur bas droite",190.09,92.8,3.54,1.5,71.5,1.5,""
"Tasseau vertical avant droite",2,"🛌 Bloc lit peigne / Tasseaux / Tasseau vertical avant droite",190.09,91.3,5.04,1.5,1.5,26.5,""
"Tasseau longueur bas droit support tiroir",2,"🛌 Bloc lit peigne / Tasseaux / Tasseau longueur bas droit support tiroir",4.59,94.8,3.54,101.02,1.5,1.5,""
"Tasseau longueur droite support tiroir",2,"🛌 Bloc lit peigne / Tasseaux / Tasseau longueur droite support tiroir",4.59,97.8,37.05,101.0,1.5,1.5,""
"Tasseau vertical intérieur fond ",2,"🛌 Bloc lit peigne / Tasseaux / Tasseau vertical intérieur fond ",142.59,164.3,5.04,1.5,1.5,32.0,""
"Tasseau vertical avant gauche 1",2,"🛌 Bloc lit peigne / Tasseaux / Tasseau vertical avant gauche 1",4.59,91.3,5.04,1.5,1.5,26.5,""
"Tasseau largeur 1",2,"🛌 Bloc lit peigne / Tasseaux / Tasseau largeur 1",142.59,91.35,3.54,1.5,71.5,1.5,""
"Tasseau longueur face bas",2,"🛌 Bloc lit peigne / Tasseaux / Tasseau longueur face bas",4.59,91.3,3.54,187.0,73.0,1.5,""
"Tasseau longueur fond bas droit",2,"🛌 Bloc lit peigne / Tasseaux / Tasseau longueur fond bas droit",104.59,164.25,3.54,84.5,1.5,1.5,""
"Tasseau longueur fond bas gauche",2,"🛌 Bloc lit peigne / Tasseaux / Tasseau longueur fond bas gauche",4.59,164.3,3.54,16.5,1.5,1.5,""
"Tasseau bas gauche largeur petit",2,"🛌 Bloc lit peigne / Tasseaux / Tasseau bas gauche largeur petit",4.59,149.8,3.54,1.5,14.49,1.5,""
"Tasseau gauche vertical ",2,"🛌 Bloc lit peigne / Tasseaux / Tasseau gauche vertical ",4.59,148.3,5.04,1.5,1.5,32.01,""
"Tasseau petit gauche haut",2,"🛌 Bloc lit peigne / Tasseaux / Tasseau petit gauche haut",4.59,149.8,37.05,1.5,14.5,1.5,""
"tasseau vertical fond gauche petit",2,"🛌 Bloc lit peigne / Tasseaux / tasseau vertical fond gauche petit",4.59,164.3,5.04,1.5,1.5,32.0,""
"Tasseau droite largeur 2",2,"🛌 Bloc lit peigne / Tasseaux / Tasseau droite largeur 2",190.09,98.51,37.04,1.5,65.79,1.5,""
"Tasseau largeur milieu bas 2",2,"🛌 Bloc lit peigne / Tasseaux / Tasseau largeur milieu bas 2",107.09,92.8,3.54,1.5,71.5,1.5,""
"Tasseau largeur milieu haut 2",2,"🛌 Bloc lit peigne / Tasseaux / Tasseau largeur milieu haut 2",107.09,91.3,37.04,1.5,73.0,1.5,""
"🧊Meuble glacière",0,"🧊Meuble glacière",193.09,95.91,2.04,36.0,57.14,50.0,""
"Planches",1,"🧊Meuble glacière / Planches",193.09,105.91,2.04,36.0,57.0,50.0,""
"Planche haut MG",2,"🧊Meuble glacière / Planches / Planche haut MG",194.59,97.41,30.04,33.05,54.0,1.5,"Texture Bois Plank"
"Planche face MG",2,"🧊Meuble glacière / Planches / Planche face MG",193.09,95.91,2.04,36.0,1.5,50.0,"Texture Bois Plank"
"Planche gauche MG",2,"🧊Meuble glacière / Planches / Planche gauche MG",194.59,97.41,2.04,1.5,54.0,50.0,"Texture Bois Plank"
"Planche bas MG",2,"🧊Meuble glacière / Planches / Planche bas MG",194.59,97.41,2.04,34.5,54.0,1.5,"Texture Bois Plank"
"Planche droite MG",2,"🧊Meuble glacière / Planches / Planche droite MG",230.59,97.53,2.04,1.5,54.0,50.0,"Texture Bois Plank"
"Planche fond MG",2,"🧊Meuble glacière / Planches / Planche fond MG",193.09,161.41,2.04,36.0,1.5,50.0,""
"Porte placard MG",2,"🧊Meuble glacière / Planches / Porte placard MG",196.09,105.91,5.04,33.0,1.5,25.5,""
"Structure 12 tasseaux",1,"🧊Meuble glacière / Structure 12 tasseaux",194.59,107.29,3.54,33.0,54.0,28.5,"Texture Bois Plank"
"Tasseau gauche glacière",2,"🧊Meuble glacière / Structure 12 tasseaux / Tasseau gauche glacière",194.59,97.41,28.54,1.5,52.5,1.5,"Texture Bois Plank"
"Tasseau droite glacière",2,"🧊Meuble glacière / Structure 12 tasseaux / Tasseau droite glacière",227.59,97.41,28.54,1.5,52.5,1.5,"Texture Bois Plank"
